timestamp,value1,value2,hand,gesture
1728496187.9468966,467,305,0,Open
1728496187.9482555,480,310,0,Open
1728496187.949783,480,315,0,Open
1728496187.951515,526,319,0,Open
1728496187.9530163,672,324,0,Open
1728496187.954623,771,329,0,Open
1728496187.9561691,672,333,0,Open
1728496187.9577858,542,338,0,Open
1728496187.9596918,480,343,0,Open
1728496187.9611015,478,348,0,Open
1728496187.963451,479,352,0,Open
1728496187.965579,467,357,0,Open
1728496187.968614,479,362,0,Open
1728496187.9701486,480,366,0,Open
1728496187.9719667,480,371,0,Open
1728496187.9734695,558,376,0,Open
1728496187.975063,610,380,0,Open
1728496187.976595,761,385,0,Open
1728496187.9781694,724,389,0,Open
1728496187.979984,616,394,0,Open
1728496187.9815204,535,399,0,Open
1728496187.9830828,480,403,0,Open
1728496187.9851737,480,408,0,Open
1728496187.9866836,479,412,0,Open
1728496187.9882946,464,417,0,Open
1728496187.9898684,476,421,0,Open
1728496187.991425,480,426,0,Open
1728496187.9931097,513,430,0,Open
1728496187.9945552,568,435,0,Open
1728496187.9960876,643,439,0,Open
1728496187.9976337,734,444,0,Open
1728496187.9995985,666,448,0,Open
1728496188.0007713,600,453,0,Open
1728496188.0028744,479,457,0,Open
1728496188.0044894,479,462,0,Open
1728496188.0061226,470,466,0,Open
1728496188.0081892,469,471,0,Open
1728496188.0097578,479,475,0,Open
1728496188.011311,476,479,0,Open
1728496188.0130608,480,484,0,Open
1728496188.0145252,480,488,0,Open
1728496188.01605,529,493,0,Open
1728496188.0184126,659,497,0,Open
1728496188.0203106,680,501,0,Open
1728496188.02217,581,506,0,Open
1728496188.0241473,495,510,0,Open
1728496188.0265255,478,514,0,Open
1728496188.02859,475,518,0,Open
1728496188.0301342,471,523,0,Open
1728496188.031896,459,527,0,Open
1728496188.0338712,475,531,0,Open
1728496188.0356586,480,535,0,Open
1728496188.0371466,480,540,0,Open
1728496188.0387974,516,544,0,Open
1728496188.0403986,565,548,0,Open
1728496188.041989,684,552,0,Open
1728496188.0436316,617,556,0,Open
1728496188.0452523,580,561,0,Open
