timestamp,hand,landmark_index,x,y,z
1728496187.2812448,0,"NormalizedLandmark(x=0.5365556478500366, y=0.5972716808319092, z=1.860243514784088e-07, visibility=0.0, presence=0.0)",0.5365556478500366,0.5972716808319092,1.860243514784088e-07
1728496187.2812448,0,"NormalizedLandmark(x=0.6103930473327637, y=0.5570060610771179, z=-0.039369311183691025, visibility=0.0, presence=0.0)",0.6103930473327637,0.5570060610771179,-0.039369311183691025
1728496187.2812448,0,"NormalizedLandmark(x=0.6675662398338318, y=0.47921645641326904, z=-0.0556010864675045, visibility=0.0, presence=0.0)",0.6675662398338318,0.47921645641326904,-0.0556010864675045
1728496187.2812448,0,"NormalizedLandmark(x=0.6982263922691345, y=0.4100542962551117, z=-0.06899864226579666, visibility=0.0, presence=0.0)",0.6982263922691345,0.4100542962551117,-0.06899864226579666
1728496187.2812448,0,"NormalizedLandmark(x=0.7264719009399414, y=0.3548739552497864, z=-0.08423330634832382, visibility=0.0, presence=0.0)",0.7264719009399414,0.3548739552497864,-0.08423330634832382
1728496187.2812448,0,"NormalizedLandmark(x=0.5930256843566895, y=0.3586633503437042, z=-0.046686653047800064, visibility=0.0, presence=0.0)",0.5930256843566895,0.3586633503437042,-0.046686653047800064
1728496187.2812448,0,"NormalizedLandmark(x=0.591606855392456, y=0.26150578260421753, z=-0.07518532872200012, visibility=0.0, presence=0.0)",0.591606855392456,0.26150578260421753,-0.07518532872200012
1728496187.2812448,0,"NormalizedLandmark(x=0.5902367830276489, y=0.20330563187599182, z=-0.09687159955501556, visibility=0.0, presence=0.0)",0.5902367830276489,0.20330563187599182,-0.09687159955501556
1728496187.2812448,0,"NormalizedLandmark(x=0.5879754424095154, y=0.15095247328281403, z=-0.11357376724481583, visibility=0.0, presence=0.0)",0.5879754424095154,0.15095247328281403,-0.11357376724481583
1728496187.2812448,0,"NormalizedLandmark(x=0.5421833992004395, y=0.3546614646911621, z=-0.04885011538863182, visibility=0.0, presence=0.0)",0.5421833992004395,0.3546614646911621,-0.04885011538863182
1728496187.2812448,0,"NormalizedLandmark(x=0.5314682722091675, y=0.2406143844127655, z=-0.07527636736631393, visibility=0.0, presence=0.0)",0.5314682722091675,0.2406143844127655,-0.07527636736631393
1728496187.2812448,0,"NormalizedLandmark(x=0.5244998335838318, y=0.16964088380336761, z=-0.09875909239053726, visibility=0.0, presence=0.0)",0.5244998335838318,0.16964088380336761,-0.09875909239053726
1728496187.2812448,0,"NormalizedLandmark(x=0.5174810886383057, y=0.1047942191362381, z=-0.11759983748197556, visibility=0.0, presence=0.0)",0.5174810886383057,0.1047942191362381,-0.11759983748197556
1728496187.2812448,0,"NormalizedLandmark(x=0.4977931082248688, y=0.3792707920074463, z=-0.0548919215798378, visibility=0.0, presence=0.0)",0.4977931082248688,0.3792707920074463,-0.0548919215798378
1728496187.2812448,0,"NormalizedLandmark(x=0.4788913428783417, y=0.2756108045578003, z=-0.08484906703233719, visibility=0.0, presence=0.0)",0.4788913428783417,0.2756108045578003,-0.08484906703233719
1728496187.2812448,0,"NormalizedLandmark(x=0.4673694968223572, y=0.21224123239517212, z=-0.10631750524044037, visibility=0.0, presence=0.0)",0.4673694968223572,0.21224123239517212,-0.10631750524044037
1728496187.2812448,0,"NormalizedLandmark(x=0.4600149989128113, y=0.1511477530002594, z=-0.12167874723672867, visibility=0.0, presence=0.0)",0.4600149989128113,0.1511477530002594,-0.12167874723672867
1728496187.2812448,0,"NormalizedLandmark(x=0.45875588059425354, y=0.4242613613605499, z=-0.06401579827070236, visibility=0.0, presence=0.0)",0.45875588059425354,0.4242613613605499,-0.06401579827070236
1728496187.2812448,0,"NormalizedLandmark(x=0.42714202404022217, y=0.3584555387496948, z=-0.09362968057394028, visibility=0.0, presence=0.0)",0.42714202404022217,0.3584555387496948,-0.09362968057394028
1728496187.2812448,0,"NormalizedLandmark(x=0.4085823893547058, y=0.3153979480266571, z=-0.10873257368803024, visibility=0.0, presence=0.0)",0.4085823893547058,0.3153979480266571,-0.10873257368803024
1728496187.2812448,0,"NormalizedLandmark(x=0.3944714367389679, y=0.27152737975120544, z=-0.11895008385181427, visibility=0.0, presence=0.0)",0.3944714367389679,0.27152737975120544,-0.11895008385181427
1728496187.3788402,0,"NormalizedLandmark(x=0.537710428237915, y=0.5965002775192261, z=1.6799116053789476e-07, visibility=0.0, presence=0.0)",0.537710428237915,0.5965002775192261,1.6799116053789476e-07
1728496187.3788402,0,"NormalizedLandmark(x=0.611799955368042, y=0.5578464865684509, z=-0.041134875267744064, visibility=0.0, presence=0.0)",0.611799955368042,0.5578464865684509,-0.041134875267744064
1728496187.3788402,0,"NormalizedLandmark(x=0.6678752303123474, y=0.48294201493263245, z=-0.058539506047964096, visibility=0.0, presence=0.0)",0.6678752303123474,0.48294201493263245,-0.058539506047964096
1728496187.3788402,0,"NormalizedLandmark(x=0.6979394555091858, y=0.41524195671081543, z=-0.07269851118326187, visibility=0.0, presence=0.0)",0.6979394555091858,0.41524195671081543,-0.07269851118326187
1728496187.3788402,0,"NormalizedLandmark(x=0.7222328186035156, y=0.3559192419052124, z=-0.08866386115550995, visibility=0.0, presence=0.0)",0.7222328186035156,0.3559192419052124,-0.08866386115550995
1728496187.3788402,0,"NormalizedLandmark(x=0.5925562381744385, y=0.3621905446052551, z=-0.051363881677389145, visibility=0.0, presence=0.0)",0.5925562381744385,0.3621905446052551,-0.051363881677389145
