timestamp,value1,value2
1728496188.1754735,774,819
1728496188.177049,706,822
1728496188.1788402,600,825
1728496188.180422,495,828
1728496188.1826003,479,830
1728496188.185007,478,833
1728496188.1862614,461,836
1728496188.1879702,475,839
1728496188.1897001,475,841
1728496188.19136,480,844
1728496188.1929452,539,847
1728496188.19457,596,849
1728496188.1964102,749,852
1728496188.1979086,739,855
1728496188.199487,664,857
1728496188.2011561,525,860
1728496188.2032847,480,862
1728496188.2049437,479,865
1728496188.206578,479,867
1728496188.20817,456,870
1728496188.2099392,479,872
1728496188.2113757,480,875
1728496188.2131033,511,877
1728496188.2147105,586,880
1728496188.2167032,609,882
1728496188.2192087,751,884
1728496188.2203171,700,887
1728496188.2219656,614,889
1728496188.2238286,480,891
1728496188.2252352,476,893
1728496188.2268653,468,896
1728496188.2285435,466,898
1728496188.2304752,467,900
1728496188.232462,465,902
1728496188.2340512,480,904
1728496188.2360687,487,907
1728496188.2378995,534,909
1728496188.239572,642,911
1728496188.241181,719,913
1728496188.242814,586,915
1728496188.2448606,541,917
1728496188.2470772,479,919
1728496188.2490606,478,921
1728496188.2524736,470,923
1728496188.261997,471,925
1728496188.2638228,475,926
1728496188.265864,480,928
1728496188.267815,480,930
1728496188.2701528,540,932
1728496188.2718775,542,934
1728496188.273648,734,936
1728496188.2754846,660,937
1728496188.2770326,554,939
1728496188.2787871,480,941
1728496188.28071,467,942
1728496188.2826545,473,944
1728496188.2845726,466,946
1728496188.2866864,473,947
1728496188.288417,469,949
1728496188.2900186,480,951
1728496188.2916467,532,952
1728496188.293369,596,954
1728496188.29494,661,955
1728496188.296701,839,957
1728496188.2983088,650,958
1728496188.3000708,582,959
1728496188.3017793,479,961
1728496188.3036594,479,962
1728496188.3053393,477,964
1728496188.3072443,475,965
1728496188.308762,472,966
1728496188.3103826,475,967
1728496188.3119614,479,969
1728496188.3137991,584,970
1728496188.3152845,591,971
1728496188.3168912,756,972
1728496188.31887,741,973
1728496188.3209352,593,975
1728496188.3225694,551,976
1728496188.3241396,480,977
1728496188.3269048,479,978
1728496188.3287325,479,979
1728496188.3306441,476,980
1728496188.3325844,479,981
1728496188.3349168,480,982
1728496188.336838,542,983
1728496188.3385592,580,984
1728496188.3402152,648,985
1728496188.3417962,744,985
1728496188.343739,583,986
1728496188.3452778,527,987
1728496188.346947,479,988
1728496188.3485894,475,989
1728496188.3501852,469,989
1728496188.352138,466,990
1728496188.354169,471,991
1728496188.355832,480,991
1728496188.3576689,480,992
1728496188.3591118,506,993
1728496188.360725,543,993
1728496188.3623674,711,994
1728496188.3641944,656,994
1728496188.366201,589,995
1728496188.367845,479,995
1728496188.3700626,478,996
1728496188.371817,471,996
1728496188.3734782,473,997
1728496188.3750894,467,997
1728496188.3767233,476,997
1728496188.3783276,480,998
1728496188.3799484,479,998
1728496188.381586,524,998
1728496188.38336,586,999
1728496188.3852482,678,999
1728496188.386972,603,999
1728496188.3885899,495,999
1728496188.3902798,480,1000
1728496188.3919163,467,1000
1728496188.393547,470,1000
1728496188.3951564,463,1000
1728496188.396787,476,1000
1728496188.398418,480,1000
1728496188.4008846,480,1000
1728496188.4020119,569,1000
1728496188.403954,609,1000
1728496188.408038,835,1000
1728496188.4100106,710,1000
1728496188.4118443,635,1000
1728496188.4135766,511,1000
1728496188.4152546,479,999
1728496188.417042,479,999
1728496188.4187093,477,999
1728496188.4203124,476,999
1728496188.4220304,479,999
1728496188.4237864,480,998
1728496188.4253929,542,998
1728496188.4269366,574,998
1728496188.428457,751,997
1728496188.4299755,761,997
1728496188.4314787,645,996
1728496188.433013,568,996
1728496188.4347715,480,996
1728496188.4369178,479,995
1728496188.4386425,475,995
1728496188.4402268,467,994
1728496188.4418616,479,993
1728496188.4434648,481,993
