timestamp,hand,gesture
1732732566.640684,0,Open
1732732566.7145293,0,Open
1732732566.751541,0,Open
1732732566.7855294,0,Open
1732732566.8305297,0,Open
1732732566.8635304,0,Open
1732732566.8945467,0,Open
1732732566.9275296,0,Open
1732732566.95853,0,Open
1732732566.99153,0,Open
1732732567.0205288,0,Open
1732732567.0535285,0,Open
1732732567.0845292,0,Open
1732732567.11753,0,Open
1732732567.1485286,0,Open
1732732567.1805294,0,Open
1732732567.2115285,0,Open
1732732567.2445526,0,Open
1732732567.2765293,0,Open
1732732567.3075292,0,Open
1732732567.3405478,0,Open
1732732567.3715298,0,Open
1732732567.4045289,0,Open
1732732567.4345303,0,Open
1732732567.4665294,0,Open
1732732567.4965477,0,Closed
1732732567.5305297,0,Closed
1732732567.5762074,0,Open
1732732567.607221,0,Open
1732732567.6372187,0,Open
1732732567.6702185,0,Open
1732732567.7002335,0,Open
1732732567.7322361,0,Open
1732732567.763231,0,Open
1732732567.7973263,0,Open
1732732567.842233,0,Open
1732732567.8742192,0,Open
1732732567.9042313,0,Open
1732732567.9362197,0,Open
1732732567.9682362,0,Open
1732732567.9992337,0,Open
1732732568.0322194,0,Open
1732732568.0652182,0,Open
1732732568.1102185,0,Open
1732732568.1412182,0,Open
1732732568.1742198,0,Open
1732732568.2062192,0,Open
1732732568.2372184,0,Open
1732732568.2702186,0,Open
1732732568.3012183,0,Open
1732732568.332219,0,Open
1732732568.3642197,0,Open
1732732568.3962197,0,Open
1732732568.4292347,0,Open
1732732568.4582183,0,Open
1732732568.4902184,0,Open
1732732568.5232193,0,Open
1732732568.553219,0,Open
1732732568.5842183,0,Open
1732732568.6182187,0,Open
1732732568.6502187,0,Open
1732732568.6812184,0,Open
1732732568.7122314,0,Open
1732732568.7452188,0,Open
1732732568.7912307,0,Open
1732732568.8222196,0,Open
1732732568.8533878,0,Open
1732732568.884376,0,Open
1732732568.9163885,0,Open
1732732568.9473932,0,Open
1732732568.9793909,0,Open
1732732569.0113766,0,Open
1732732569.0413904,0,Open
1732732569.072396,0,Open
1732732569.1043906,0,Open
1732732569.1454859,0,Open
1732732569.183481,0,Open
1732732569.2144809,0,Open
1732732569.2473767,0,Open
1732732569.277376,0,Open
1732732569.3073757,0,Open
1732732569.3393762,0,Open
1732732569.371376,0,Open
1732732569.4033878,0,Open
1732732569.4353762,0,Open
1732732569.468376,0,Open
1732732569.4993753,0,Open
1732732569.543376,0,Open
1732732569.5783756,0,Open
1732732569.6113758,0,Open
1732732569.6423757,0,Open
1732732569.6743898,0,Open
1732732569.7063756,0,Open
